epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2065.64,0.83119,0.59929,1.09372,0.78841,0.58207,0.67093,0.4733,1.34797,1.22465,1.48679,0.000585875,0.000585875,0.000585875
163,2078.32,0.82982,0.60465,1.06978,0.70826,0.60766,0.66654,0.48419,1.29699,1.28947,1.47182,0.00058175,0.00058175,0.00058175
164,2091,0.80408,0.6014,1.07504,0.73075,0.59888,0.66221,0.47412,1.31057,1.24783,1.5001,0.000577625,0.000577625,0.000577625
165,2103.63,0.79256,0.5513,1.07678,0.72369,0.60149,0.66247,0.47491,1.29653,1.24712,1.4614,0.0005735,0.0005735,0.0005735
166,2116.29,0.81318,0.59939,1.06366,0.68081,0.63517,0.67521,0.47176,1.31372,1.16254,1.50345,0.000569375,0.000569375,0.000569375
167,2128.96,0.81794,0.57657,1.11566,0.66833,0.63614,0.67395,0.47164,1.3117,1.2175,1.50854,0.00056525,0.00056525,0.00056525
168,2141.72,0.79638,0.59387,1.07886,0.73488,0.59615,0.67245,0.4766,1.31345,1.25603,1.47492,0.000561125,0.000561125,0.000561125
169,2154.29,0.78592,0.54975,1.08448,0.72811,0.60234,0.67439,0.47184,1.32267,1.2032,1.48306,0.000557,0.000557,0.000557
170,2166.99,0.82177,0.58445,1.08311,0.74754,0.58288,0.6626,0.463,1.32699,1.3032,1.5026,0.000552875,0.000552875,0.000552875
171,2179.61,0.77802,0.56635,1.06819,0.72478,0.59915,0.68052,0.48033,1.28875,1.22396,1.4772,0.00054875,0.00054875,0.00054875
172,2192.19,0.75745,0.53144,1.05526,0.69821,0.61328,0.66815,0.48256,1.29501,1.23889,1.47302,0.000544625,0.000544625,0.000544625
173,2204.9,0.78967,0.59598,1.08687,0.78427,0.58893,0.68635,0.49177,1.30947,1.1837,1.46159,0.0005405,0.0005405,0.0005405
174,2217.53,0.76602,0.55288,1.06098,0.71583,0.6231,0.68299,0.48374,1.32913,1.27882,1.48189,0.000536375,0.000536375,0.000536375
175,2230.2,0.81456,0.57746,1.07433,0.69007,0.62205,0.67506,0.47904,1.30067,1.23815,1.49435,0.00053225,0.00053225,0.00053225
176,2242.88,0.76743,0.61855,1.04249,0.70501,0.63923,0.68505,0.48532,1.30345,1.15834,1.47731,0.000528125,0.000528125,0.000528125
177,2255.58,0.7781,0.55012,1.06031,0.70195,0.6318,0.68265,0.47786,1.32321,1.19729,1.4957,0.000524,0.000524,0.000524
178,2268.11,0.80126,0.62513,1.09816,0.7771,0.56452,0.67583,0.47983,1.31837,1.18336,1.48915,0.000519875,0.000519875,0.000519875
179,2280.82,0.76777,0.54285,1.04592,0.76431,0.58686,0.67558,0.4767,1.32763,1.19783,1.51596,0.00051575,0.00051575,0.00051575
